Postcode,Latitude,Longitude
DD1 2QD,56.467314,-2.967326
DD1 2QE,56.467375,-2.967652
DD1 2QF,56.467947,-2.965654
DD1 2QG,56.467634,-2.966652
DD1 2QH,56.468072,-2.966907
DD1 2QJ,56.467991,-2.966986
DD1 2QN,56.467114,-2.96414
DD1 2QQ,56.468272,-2.966604
DD1 2QW,56.467353,-2.963513
DD1 2SH,56.464113,-2.966404
DD1 2YA,56.465436,-2.967392
DD1 2YB,56.465436,-2.967392
DD1 2YD,56.465436,-2.967392
DD1 2YE,56.461653,-2.991362
DD1 2YF,56.465436,-2.967392
DD1 2YG,56.461653,-2.991362
DD1 2YH,56.464086,-2.966481
DD1 2YJ,56.464086,-2.966481
DD1 2YL,56.461653,-2.991362
DD1 3AA,56.460538,-2.968679
DD1 3AB,56.460431,-2.968579
DD1 3AD,56.460353,-2.968224
DD1 3AE,56.460344,-2.968252
DD1 3AF,56.460845,-2.968463
DD1 3AG,56.46375,-2.961182
DD1 3AH,56.459822,-2.968372
DD1 3AJ,56.460009,-2.969753
DD1 3AL,56.461514,-2.957555
DD1 3AN,56.459656,-2.9689
DD1 3AP,56.459933,-2.970286
DD1 3AQ,56.460481,-2.967902
DD1 3AR,56.459676,-2.969777
DD1 3AS,56.459649,-2.969731
DD1 3AT,56.459658,-2.969857
DD1 3AU,56.460639,-2.958036
DD1 3AW,56.460883,-2.959
DD1 3AX,56.461292,-2.957176
DD1 3AY,56.461077,-2.958372
DD1 3AZ,56.458743,-2.967209
DD1 3BA,56.460402,-2.968919
DD1 3BB,56.459964,-2.968571
DD1 3BD,56.45994,-2.96941
DD1 3BE,56.460063,-2.969706
DD1 3BF,56.462271,-2.953793
DD1 3BG,56.460349,-2.968804
DD1 3BH,56.459771,-2.961016
DD1 3BJ,56.459756,-2.960691
DD1 3BL,56.460063,-2.969706
DD1 3BN,56.461446,-2.954778
DD1 3BP,56.461498,-2.958431
DD1 3BQ,56.461811,-2.956394
DD1 3BR,56.461995,-2.953478
DD1 3BS,56.46016,-2.969923
DD1 3BT,56.45994,-2.96941
DD1 3BU,56.461814,-2.954788
DD1 3BW,56.461594,-2.955318
DD1 3BX,56.461264,-2.956137
DD1 3BY,56.46016,-2.969923
DD1 3BZ,56.460231,-2.970051
DD1 3DA,56.461007,-2.966159
DD1 3DB,56.459711,-2.968804
DD1 3DD,56.461165,-2.966715
DD1 3DE,56.460765,-2.967273
DD1 3DF,56.461054,-2.957754
DD1 3DG,56.461357,-2.967373
DD1 3DH,56.460225,-2.960379
DD1 3DJ,56.460516,-2.966991
DD1 3DL,56.46072,-2.967223
DD1 3DN,56.460162,-2.967355
DD1 3DP,56.460401,-2.966728
DD1 3DQ,56.461074,-2.96681
DD1 3DR,56.46072,-2.966136
DD1 3DS,56.460346,-2.966889
DD1 3DT,56.460749,-2.960006
DD1 3DU,56.46164,-2.964536
DD1 3DW,56.460133,-2.959488
DD1 3DX,56.461411,-2.965017
DD1 3DY,56.461885,-2.966458
DD1 3DZ,56.461996,-2.967272
DD1 3EA,56.462294,-2.963534
DD1 3EB,56.461901,-2.965569
DD1 3ED,56.461199,-2.966866
DD1 3EE,56.461971,-2.966995
DD1 3EH,56.460771,-2.966429
DD1 3EJ,56.461044,-2.967248
DD1 3EL,56.460891,-2.967292
DD1 3EN,56.462317,-2.966371
DD1 3ET,56.462579,-2.965112
DD1 3EU,56.462307,-2.965349
DD1 3EW,56.462563,-2.965907
DD1 3EX,56.4628,-2.96442
DD1 3EY,56.462259,-2.963513
DD1 3HA,56.463007,-2.960855
DD1 3HB,56.462249,-2.962377
DD1 3HE,56.46342,-2.963202
DD1 3HH,56.463349,-2.963135
DD1 3HJ,56.461184,-2.964217
DD1 3HL,56.461184,-2.964217
DD1 3HN,56.461278,-2.963732
DD1 3HP,56.46225,-2.962361
DD1 3HR,56.461188,-2.96373
DD1 3HS,56.461184,-2.964217
DD1 3HT,56.467223,-2.926228
DD1 3HU,56.461324,-2.957729
DD1 3HW,56.46142,-2.963947
DD1 3HX,56.461324,-2.957729
DD1 3HY,56.463305,-2.956013
DD1 3HZ,56.462938,-2.956958
DD1 3JA,56.462283,-2.960369
DD1 3JB,56.459399,-2.962695
DD1 3JD,56.46011,-2.96023
DD1 3JE,56.459864,-2.960613
DD1 3JF,56.461324,-2.957729
DD1 3JG,56.462813,-2.956825
DD1 3JH,56.463746,-2.958277
DD1 3JJ,56.463088,-2.961993
DD1 3JL,56.462631,-2.961786
DD1 3JN,56.463146,-2.960213
DD1 3JP,56.460744,-2.962976
DD1 3JQ,56.463746,-2.958277
DD1 3JR,56.463375,-2.959728
DD1 3JS,56.464603,-2.960132
DD1 3JT,56.459569,-2.961628
DD1 3JU,56.463861,-2.963022
DD1 3JW,56.463233,-2.957193
DD1 3JX,56.465433,-2.951486
DD1 3JY,56.465364,-2.956905
DD1 3JZ,56.465427,-2.951064
DD1 3LA,56.466332,-2.95021
DD1 3LB,56.465516,-2.950044
DD1 3LD,56.465981,-2.947946
DD1 3LF,56.466517,-2.946076
DD1 3LG,56.464808,-2.948569
DD1 3LH,56.466956,-2.943851
DD1 3LJ,56.462628,-2.951676
DD1 3LL,56.462728,-2.950461
DD1 3LN,56.461728,-2.963581
DD1 3LP,56.466124,-2.94097
DD1 3LQ,56.465127,-2.946853
DD1 3LR,56.465678,-2.942956
DD1 3LS,56.467223,-2.926228
DD1 3LT,56.466124,-2.94097
DD1 3LU,56.466004,-2.940221
DD1 3LW,56.46573,-2.93963
DD1 3LY,56.466697,-2.93644
DD1 3LZ,56.467252,-2.932006
DD1 3NA,56.466252,-2.928804
DD1 3NB,56.467223,-2.926228
DD1 3ND,56.464684,-2.951861
DD1 3NE,56.467223,-2.926228
DD1 3NF,56.463648,-2.947563
DD1 3NG,56.464119,-2.956501
DD1 3NH,56.46664,-2.949958
DD1 3NJ,56.463712,-2.962658
DD1 3NL,56.463441,-2.962813
DD1 3NN,56.467945,-2.919753
DD1 3NP,56.467523,-2.919811
DD1 3NQ,56.467778,-2.92045
DD1 3NR,56.460654,-2.963067
DD1 3NW,56.45961,-2.970181
DD1 3NY,56.467125,-2.924992
DD1 3PB,56.460807,-2.966479
DD1 3PD,56.459179,-2.967898
DD1 3PE,56.459534,-2.968394
DD1 3RA,56.459388,-2.967563
DD1 3RB,56.459388,-2.967563
DD1 3RD,56.459427,-2.968342
DD1 3RE,56.459388,-2.967563
DD1 3RF,56.459388,-2.967563
DD1 3RG,56.459972,-2.969865
DD1 3RH,56.459388,-2.967563
DD1 3RJ,56.459388,-2.967563
DD1 3RL,56.459388,-2.967563
DD1 3RN,56.459388,-2.967563
DD1 3RP,56.459179,-2.967898
DD1 3RQ,56.459388,-2.967563
DD1 3RR,56.459388,-2.967563
DD1 3RS,56.459388,-2.967563
DD1 3RT,56.459388,-2.967563
DD1 3RU,56.460448,-2.967573
DD1 3RW,56.459972,-2.969865
DD1 3RZ,56.459388,-2.967563
DD1 3WB,56.461688,-2.991412
DD1 3WD,56.461653,-2.991362
DD1 3YA,56.466697,-2.93644
DD1 3YB,56.459613,-2.969856
DD1 3YD,56.461653,-2.991362
DD1 3YE,56.461653,-2.991362
DD1 3YF,56.461653,-2.991362
DD1 3YG,56.461653,-2.991362
DD1 3YH,56.461653,-2.991362
DD1 3YJ,56.461688,-2.991412
DD1 3YL,56.461688,-2.991412
DD1 3YN,56.461679,-2.991415
DD1 3YP,56.461688,-2.991412
DD1 3YQ,56.461653,-2.991362
DD1 3YR,56.459388,-2.967563
DD1 3YS,56.461688,-2.991412
DD1 3YT,56.461693,-2.964603
DD1 3YU,56.461653,-2.991362
DD1 3YW,56.459388,-2.967563
DD1 3YX,56.461653,-2.991362
DD1 3YY,56.461653,-2.991362
DD1 3YZ,56.461653,-2.991362
DD1 4AA,56.459267,-2.970322
DD1 4AB,56.456362,-2.978718
DD1 4AD,56.456771,-2.977086
DD1 4AE,56.459389,-2.970922
DD1 4AF,56.459618,-2.97025
DD1 4AG,56.4593,-2.97079
DD1 4AH,56.458162,-2.973782
DD1 4AL,56.459478,-2.969869
DD1 4AN,56.45952,-2.970178
DD1 4AP,56.4597,-2.970183
DD1 4AQ,56.45961,-2.970181
DD1 4AR,56.459125,-2.970168
DD1 4AS,56.458613,-2.971291
DD1 4AU,56.459259,-2.969166
DD1 4AX,56.459079,-2.969194
DD1 4AY,56.458903,-2.969822
DD1 4BA,56.458888,-2.969513
DD1 4BB,56.458881,-2.970312
DD1 4BD,56.458613,-2.971291
DD1 4BE,56.459005,-2.970603
DD1 4BF,56.457818,-2.968338
DD1 4BG,56.458999,-2.971334
DD1 4BH,56.45927,-2.97113
DD1 4BJ,56.458471,-2.971077
DD1 4BL,56.458772,-2.973892
DD1 4BN,56.459016,-2.971403
DD1 4BP,56.459061,-2.971465
DD1 4BQ,56.459086,-2.970589
DD1 4BS,56.458787,-2.97089
DD1 4BT,56.459089,-2.96908
DD1 4BU,56.458352,-2.971304
DD1 4BW,56.459203,-2.971696
DD1 4BX,56.457522,-2.969515
DD1 4BY,56.456621,-2.970981
DD1 4BZ,56.45698,-2.97099
DD1 4DA,56.456285,-2.970258
DD1 4DB,56.456575,-2.971064
DD1 4DD,56.456346,-2.989861
DD1 4DE,56.458019,-2.965694
DD1 4DF,56.457606,-2.966755
DD1 4DG,56.459463,-2.972858
DD1 4DH,56.457956,-2.974828
DD1 4DJ,56.458047,-2.974684
DD1 4DL,56.457774,-2.975164
DD1 4DN,56.457774,-2.975132
DD1 4DP,56.457344,-2.976127
DD1 4DQ,56.458856,-2.973553
DD1 4DR,56.456808,-2.976941
DD1 4DS,56.456771,-2.977086
DD1 4DT,56.457056,-2.976237
DD1 4DU,56.457031,-2.975973
DD1 4DW,56.457528,-2.975661
DD1 4DX,56.456692,-2.975623
DD1 4DY,56.457095,-2.974712
DD1 4DZ,56.454631,-2.988567
DD1 4EA,56.457743,-2.974486
DD1 4EB,56.457753,-2.974482
DD1 4ED,56.45798,-2.974066
DD1 4EE,56.456855,-2.976621
DD1 4EF,56.458462,-2.975624
DD1 4EG,56.457833,-2.973413
DD1 4EH,56.458384,-2.973038
DD1 4EJ,56.458246,-2.972256
DD1 4EL,56.45873,-2.972463
DD1 4EN,56.458988,-2.971625
DD1 4EP,56.458604,-2.972427
DD1 4ER,56.459074,-2.972021
DD1 4ES,56.458876,-2.972109
DD1 4ET,56.459485,-2.97122
DD1 4EU,56.459504,-2.971087
DD1 4EW,56.458604,-2.972427
DD1 4EX,56.459333,-2.971131
DD1 4EY,56.459894,-2.970565
DD1 4EZ,56.457288,-2.967172
DD1 4HA,56.459267,-2.978448
DD1 4HB,56.457619,-2.9823
DD1 4HD,56.458407,-2.983732
DD1 4HE,56.458202,-2.984733
DD1 4HG,56.459636,-2.982855
DD1 4HJ,56.457151,-2.981188
DD1 4HL,56.457135,-2.97987
DD1 4HN,56.457345,-2.978269
DD1 4HP,56.457666,-2.982106
DD1 4HQ,56.45663,-2.981272
DD1 4HR,56.458557,-2.979614
DD1 4HT,56.456878,-2.982881
DD1 4HU,56.456453,-2.984379
DD1 4HW,56.459036,-2.979188
DD1 4HY,56.456258,-2.987344
DD1 4HZ,56.456278,-2.988318
DD1 4JA,56.45609,-2.989238
DD1 4JB,56.456048,-2.990064
DD1 4JD,56.456022,-2.991086
DD1 4JE,56.45683,-2.985509
DD1 4JF,56.456378,-2.986961
DD1 4JG,56.45682,-2.988936
DD1 4JH,56.456764,-2.990456
DD1 4JJ,56.456234,-2.990426
DD1 4JL,56.456268,-2.991741
DD1 4JN,56.455141,-2.990024
DD1 4JP,56.456034,-2.98393
DD1 4JQ,56.456318,-2.988793
DD1 4JR,56.455724,-2.984539
DD1 4JS,56.456122,-2.98635
DD1 4JT,56.456094,-2.986479
DD1 4JU,56.455298,-2.986024
DD1 4JW,56.456206,-2.98374
DD1 4JX,56.455505,-2.987162
DD1 4JY,56.455929,-2.988033
DD1 4JZ,56.455551,-2.98924
DD1 4LA,56.455151,-2.981928
DD1 4LB,56.455789,-2.989895
DD1 4LD,56.455416,-2.990437
DD1 4LE,56.455267,-2.989946
DD1 4LF,56.454405,-2.989892
DD1 4LG,56.454239,-2.989352
DD1 4LH,56.455974,-2.983588
DD1 4LJ,56.453524,-2.989982
DD1 4LL,56.455815,-2.991096
DD1 4LN,56.456602,-2.979113
DD1 4LP,56.455773,-2.982836
DD1 4LQ,56.453551,-2.989967
DD1 4LR,56.455296,-2.982905
DD1 4LS,56.455243,-2.985143
DD1 4LT,56.454823,-2.984824
DD1 4LU,56.455314,-2.984029
DD1 4LW,56.456174,-2.978709
DD1 4LX,56.454954,-2.985314
DD1 4LY,56.454338,-2.984763
DD1 4LZ,56.454044,-2.985554
DD1 4NA,56.454312,-2.985849
DD1 4NB,56.453286,-2.986017
DD1 4ND,56.453141,-2.987311
DD1 4NE,56.453314,-2.987008
DD1 4NF,56.453135,-2.988058
DD1 4NG,56.453453,-2.987644
DD1 4NH,56.454061,-2.987952
DD1 4NJ,56.454004,-2.988388
DD1 4NL,56.45425,-2.988005
DD1 4NN,56.4539,-2.986731
