Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income,Sewage Company,Travel To Work Area,ITL level 2,ITL level 3,UPRNs,Distance to sea,LSOA21 Code,Lower layer super output area 2021,MSOA21 Code,Middle layer super output area 2021,Census output area 2021,IMD decile,Constituency Code 2024,Constituency Name 2024,Property Type,Roads
DD3 6BJ,Yes,56.468644,-2.996803,338684.0,731169.0,NO386311,,Dundee City,Coldside,S12000042,S13002548,Scotland,S99999999,1980-01-01,,,,10.0,2.0,,Law - 01,Large urban area,Scotland,98.0,,S01007828,,S02001469,Law,,S00098739,1211,1,0,2024-12-20,Dundee,2.07217,DD,DD3,Scotland,Scottish Water,9C8VF293+F7,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059033898,9059048862,9059088025,9059088150,9059101199",1.86843,,,,,S00148275,2.0,S14000075,Dundee Central,,"Gardner Street,Lawside Road"
DD3 6BL,No,56.468748,-2.996222,338720.0,731180.0,NO387311,,Dundee City,Coldside,S12000042,S13002548,Scotland,S99999999,1980-01-01,1995-12-01,,,,,,Law - 01,Large urban area,Scotland,101.0,,S01007828,,S02001469,Law,,S00098739,1211,8,1,2024-12-20,Dundee,2.0529,DD,DD3,Scotland,Scottish Water,9C8VF293+FG,,,Dundee,Eastern Scotland,Angus and Dundee City,,1.88722,,,,,S00148275,2.0,S14000075,Dundee Central,,
DD3 6BN,No,56.470896,-2.997252,338660.0,731420.0,NO386314,,Dundee City,Coldside,S12000042,S13002548,Scotland,S99999999,1975-06-01,1992-07-01,,,,,,Law - 01,Large urban area,Scotland,105.0,,S01007828,,S02001469,Law,,S00098746,1211,8,1,2024-12-20,Dundee,2.26268,DD,DD3,Scotland,Scottish Water,9C8VF2C3+93,,,Dundee,Eastern Scotland,Angus and Dundee City,,2.11019,,,,,S00148159,2.0,S14000075,Dundee Central,,
DD3 6BP,Yes,56.467591,-2.993676,338875.0,731049.0,NO388310,,Dundee City,Coldside,S12000042,S13002548,Scotland,S99999999,1980-01-01,,,,15.0,6.0,,Logie and Blackness - 06,Large urban area,Scotland,98.0,,S01007700,,S02001447,Logie and Blackness,,S00098737,4340,1,0,2024-12-20,Dundee,1.85069,DD,DD3,Scotland,Scottish Water,9C8VF294+2G,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059000370,9059006266,9059032758,9059046944,9059070317,9059087172,9059092683",1.79237,,,,,S00148309,7.0,S14000075,Dundee Central,,Lawside Road
DD3 6BQ,Yes,56.467488,-2.994241,338840.0,731038.0,NO388310,,Dundee City,Coldside,S12000042,S13002548,Scotland,S99999999,1980-01-01,,,,15.0,8.0,,Logie and Blackness - 06,Large urban area,Scotland,95.0,,S01007700,,S02001447,Logie and Blackness,,S00098737,4340,1,0,2024-12-20,Dundee,1.86918,DD,DD3,Scotland,Scottish Water,9C8VF284+X8,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059004614,9059005323,9059010743,9059017704,9059024454,9059025262,9059049462,9059052338,9059087171,9059096885",1.77389,,,,,S00148275,7.0,S14000075,Dundee Central,,"Lawside Road,Lawside Terrace"
DD3 6BR,No,56.467306,-2.995583,338757.0,731019.0,NO387310,,Dundee City,Coldside,S12000042,S13002548,Scotland,S99999999,1980-01-01,2014-08-01,,,,,,Logie and Blackness - 06,Large urban area,Scotland,90.0,,S01007700,,S02001447,Logie and Blackness,,S00098737,4340,1,1,2024-12-20,Dundee,1.91955,DD,DD3,Scotland,Scottish Water,9C8VF283+WQ,,,Dundee,Eastern Scotland,Angus and Dundee City,,1.73688,,,,,S00148275,7.0,S14000075,Dundee Central,,
DD3 6BS,Yes,56.46703,-2.99418,338843.0,730987.0,NO388309,,Dundee City,Coldside,S12000042,S13002548,Scotland,S99999999,1980-01-01,,,,67.0,24.0,,Logie and Blackness - 06,Large urban area,Scotland,90.0,,S01007700,,S02001447,Logie and Blackness,,S00098737,4340,1,0,2024-12-20,Dundee,1.83343,DD,DD3,Scotland,Scottish Water,9C8VF284+R8,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059000865,9059005239,9059009728,9059017040,9059018924,9059024550,9059026601,9059030821,9059032814,9059033076,9059036334,9059038849,9059039529,9059039539,9059041997,9059044544,9059046777,9059047339,9059049457,9059049459,9059052058,9059052960,9059058806,9059065737,9059066194,9059096849,9059096883,10015276819",1.72434,,,,,S00148275,7.0,S14000075,Dundee Central,,"Inverary Terrace,Kinghorne Terrace,Lawside Avenue"
DD3 6BT,Yes,56.46862,-2.998718,338566.0,731168.0,NO385311,,Dundee City,Coldside,S12000042,S13002548,Scotland,S99999999,1980-01-01,,,,15.0,11.0,,Law - 01,Large urban area,Scotland,88.0,,S01007828,,S02001469,Law,,S00098580,1211,1,0,2024-12-20,Dundee,2.16103,DD,DD3,Scotland,Scottish Water,9C8VF292+CG,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059004667,9059025386,9059035432,9059047677,9059047678,9059055894,9059066146,9059071664,9059071665,9059071666,9059071667,9059071668,9059083814",1.84151,,,,,S00148205,2.0,S14000075,Dundee Central,,Campbell Street
DD3 6BU,Yes,56.468825,-2.998967,338551.0,731191.0,NO385311,,Dundee City,Coldside,S12000042,S13002548,Scotland,S99999999,1980-01-01,,,,37.0,31.0,,Law - 01,Large urban area,Scotland,89.0,,S01007828,,S02001469,Law,,S00098580,1211,1,0,2024-12-20,Dundee,2.18719,DD,DD3,Scotland,Scottish Water,9C8VF292+GC,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059020777,9059026995,9059026996,9059026999,9059027001,9059027003,9059027005,9059027007,9059027010,9059027017,9059027020,9059027022,9059027118,9059041502,9059046806,9059054370,9059054371,9059063384,9059063385,9059063386,9059063387,9059063388,9059063389,9059063391,9059063395,9059063396,9059063397,9059063398,9059063399,9059063400,9059063401,9059065319,9059066808,9059066819",1.86088,,,,,S00148205,2.0,S14000075,Dundee Central,,Campbell Street
DD3 6BW,Yes,56.468156,-2.999388,338524.0,731117.0,NO385311,,Dundee City,Coldside,S12000042,S13002548,Scotland,S99999999,1987-04-01,,,,59.0,25.0,,Law - 01,Large urban area,Scotland,82.0,,S01007828,,S02001469,Law,,S00098580,1211,1,0,2024-12-20,Dundee,2.16203,DD,DD3,Scotland,Scottish Water,9C8VF292+76,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059001442,9059002157,9059002356,9059017039,9059019357,9059022067,9059024760,9059024762,9059031729,9059032679,9059033727,9059035433,9059039549,9059045068,9059045356,9059048162,9059049670,9059059273,9059064696,9059065959,9059065960,9059065962,9059069199,9059076961,9059076962,9059081492,9059096346,9059096908,10025423321",1.78203,,,,,S00148312,2.0,S14000075,Dundee Central,,"Balgayview Gardens,Campbell Street,Cleghorn Street"
